1;хуй
0;привет
0;молодец
0;спасибо
0;пожалуйста
0;пж
0;спс
1;пидр
1;пидорас
1;уёбок
1;сука
1;блять
0;123
0;Привет
0;Робот
0;гг
0;он врёт
1;доставай свой член
0;не правда
0;круто
0;Кто игруть будет
0;там в общем нет новостей
0;поэтому кому какая разница?
1;БЛЯТЬ ДА ЧО ЗА ХУЙНЯ, У МЕНЯ НА СЕРВЕРЕ 1 ПАЦАН ТАКИЕ ЖЕ ФОТКИ ШЛЁТ
1;ВЫ ЧО БЛЯТЬ ДАУНЫ НА ССЫЛКИ ОДНИ И ТЕ ЖЕ ПЕРЕХОДИТ?
0;да-да привет-привет
0;А хотя вообще на чистоту, я не фанат дуэлей и от части считаю это бессмысленной тратой времени, с Максом я записался чисто из-за интереса
0;ладно когда починю микрофон зайду
0;ало
0;меня слышно
0;нафиг вам это конечно, я не ютубер по дуэлям
0;случайно
1;грататата стреляй гавном 
1;из своей писке
1;Блядство
1;Негр
1;пизда
1;Хуйло
1;Пиздец
1;хуйло
1;да ты ахуел